contest_type,question_no,q_rating,accuracy,avg_solving_time
4.0,1.0,1100.0,0.8061749571183533,1450.5457446808512
4.0,2.0,1200.0,0.7488584474885844,1675.0060975609756
4.0,3.0,1700.0,0.8805970149253731,2295.512711864407
4.0,4.0,1600.0,0.8822222222222222,2176.889168765743
4.0,5.0,1800.0,0.3395348837209302,1529.0
4.0,6.0,2200.0,0.36,2353.3333333333335
4.0,7.0,2200.0,0.7647058823529411,1975.3076923076924
4.0,8.0,2400.0,0.625,390.4
4.0,9.0,2600.0,0.25,1604.0
1.0,1.0,1700.0,0.9863013698630136,1117.2162698412699
1.0,2.0,1600.0,0.998046875,739.7260273972603
1.0,3.0,1800.0,0.9878048780487805,928.8395061728395
1.0,4.0,2200.0,0.7485380116959064,2234.37109375
1.0,5.0,2200.0,0.9688473520249221,1307.646302250804
1.0,6.0,2400.0,0.8577777777777778,1155.440414507772
1.0,7.0,2600.0,0.775,1996.6451612903227
1.0,8.0,3100.0,0.5,2336.5555555555557
2.0,1.0,1100.0,0.8350035790980673,1338.710672953279
2.0,2.0,1200.0,0.8592503987240829,1669.3814385150813
2.0,3.0,1700.0,0.9015706806282723,2302.9430894308944
2.0,4.0,1600.0,0.9168684422921711,1875.1021126760563
2.0,5.0,1800.0,0.5997109826589595,1618.4
2.0,6.0,2200.0,0.5348837209302325,2557.478260869565
2.0,7.0,2200.0,0.8482142857142857,1712.957894736842
2.0,8.0,2400.0,0.631578947368421,1758.3333333333333
1.0,1.0,1700.0,0.9714714714714715,1585.0556414219475
1.0,2.0,1800.0,0.8880706921944035,1630.363184079602
1.0,3.0,2100.0,0.6857142857142857,1495.6640625
1.0,4.0,2300.0,0.8731884057971014,2154.1659751037346
1.0,5.0,2700.0,0.65,2898.1692307692306
1.0,6.0,3300.0,0.6153846153846154,3196.75
2.0,1.0,800.0,0.957677331979008,1021.2667491603323
2.0,2.0,1100.0,0.8365997060264576,2635.2966325036605
2.0,3.0,1600.0,0.7537198563365829,2932.770592239619
2.0,4.0,1700.0,0.7906542056074767,2311.22695035461
2.0,5.0,1800.0,0.2605548854041013,2149.5925925925926
2.0,6.0,2100.0,0.32075471698113206,1154.1176470588234
2.0,7.0,2300.0,0.75,2373.8888888888887
2.0,1.0,1000.0,0.8142292490118577,1455.8434466019417
2.0,2.0,1400.0,0.5600542863605519,1773.9317447495962
2.0,3.0,1500.0,0.8195153061224489,2159.0070038910508
2.0,4.0,1700.0,0.7824074074074074,1818.8001314924393
2.0,5.0,2200.0,0.47480106100795755,2439.927374301676
2.0,6.0,2500.0,0.5862068965517241,2977.5882352941176
2.0,1.0,800.0,0.9485168282943526,871.8717486092316
2.0,2.0,1000.0,0.9239775461106656,1131.7003992362438
2.0,3.0,1200.0,0.8821811100292113,1399.3940397350993
2.0,4.0,1700.0,0.5841194968553459,2581.5323014804844
2.0,5.0,2000.0,0.6894679695982627,2298.5937007874018
2.0,6.0,2400.0,0.558974358974359,2207.422018348624
2.0,7.0,2600.0,0.3,3081.5925925925926
1.0,1.0,1500.0,0.9692513368983957,825.9544827586207
1.0,2.0,1900.0,0.8270042194092827,1828.6326530612246
1.0,3.0,2400.0,0.6053333333333333,3247.4273127753304
1.0,4.0,3400.0,0.5454545454545454,4009.1666666666665
1.0,5.0,3200.0,0.29411764705882354,4634.4
2.0,1.0,800.0,0.9623022551329519,1024.2637285764254
2.0,2.0,1000.0,0.856554441260745,1234.8818733012754
2.0,3.0,1600.0,0.7814667988107037,2096.6385542168673
2.0,4.0,1500.0,0.5498503338705963,2276.345896147404
2.0,5.0,1900.0,0.38351648351648354,2313.6332378223497
2.0,6.0,2400.0,0.42105263157894735,3587.5
3.0,1.0,1000.0,0.7948139797068771,1473.8386524822695
3.0,2.0,1400.0,0.651042944785276,2285.709385601206
3.0,3.0,1700.0,0.5075136612021858,2275.699865410498
3.0,4.0,1500.0,0.6358858858858859,2438.9864226682407
3.0,5.0,2000.0,0.577922077922078,1892.685393258427
3.0,6.0,2000.0,0.5663716814159292,1836.90625
2.0,1.0,1000.0,0.893227879387049,1142.7185021213797
2.0,2.0,1200.0,0.7613778333035873,1722.5250820440694
2.0,3.0,1400.0,0.7919284678588691,1724.4690265486727
2.0,4.0,1900.0,0.5927802406586448,2274.0
2.0,5.0,2300.0,0.9481481481481482,2251.0078125
2.0,6.0,2300.0,0.8776595744680851,2388.4363636363637
4.0,1.0,1400.0,0.9422222222222222,2364.9056603773583
4.0,2.0,1800.0,0.7238805970149254,2466.8298969072166
4.0,3.0,2100.0,0.86,2829.360465116279
4.0,4.0,3000.0,1.0,3904.6666666666665
4.0,5.0,2300.0,0.8703703703703703,2789.425531914894
4.0,6.0,800.0,0.9376899696048632,3095.4700162074555
4.0,7.0,2300.0,0.9122807017543859,3226.269230769231
4.0,8.0,1500.0,0.9017199017199017,1678.3433242506812
4.0,9.0,3100.0,0.8333333333333334,4756.4
4.0,10.0,1800.0,0.8423423423423423,2295.6256684491977
4.0,11.0,3100.0,0.14285714285714285,569.0
4.0,12.0,1500.0,0.8882521489971347,2074.525806451613
4.0,13.0,2500.0,0.8888888888888888,3263.7916666666665
4.0,14.0,2000.0,0.7194244604316546,2975.71
4.0,1.0,1000.0,0.9280397022332506,3498.530748663102
4.0,2.0,2300.0,0.703125,2770.9333333333334
4.0,3.0,1600.0,0.8275862068965517,2653.3137254901962
4.0,4.0,3000.0,0.2608695652173913,2246.0
4.0,5.0,2200.0,0.6616541353383458,2422.7954545454545
4.0,6.0,2400.0,0.7567567567567568,2310.6785714285716
4.0,7.0,2100.0,0.9166666666666666,3061.5537190082646
4.0,8.0,1800.0,0.6410256410256411,3220.0581818181818
4.0,9.0,3000.0,0.2857142857142857,2159.0
4.0,10.0,2300.0,0.7794117647058824,2920.603773584906
4.0,11.0,2100.0,0.7560975609756098,4164.61935483871
4.0,12.0,2300.0,0.7413793103448276,3057.5813953488373
4.0,1.0,900.0,0.7814122533748702,1139.3249169435217
4.0,2.0,1000.0,0.9564220183486238,1565.6067146282974
4.0,3.0,1300.0,0.398959236773634,901.2978260869565
4.0,4.0,1600.0,0.3100558659217877,2174.8153153153153
4.0,5.0,1800.0,0.26396917148362237,3181.2335766423357
4.0,6.0,2200.0,0.2777777777777778,2742.0
4.0,7.0,2500.0,0.2222222222222222,2976.25
4.0,8.0,3100.0,0.0,0.0
1.0,1.0,1600.0,0.813614262560778,1082.011952191235
1.0,2.0,1800.0,0.8768472906403941,2043.7940074906367
1.0,3.0,2200.0,0.7965686274509803,2629.1046153846155
1.0,4.0,2500.0,0.5583756345177665,2411.1
1.0,5.0,3100.0,0.30434782608695654,2819.8571428571427
1.0,6.0,3500.0,0.6666666666666666,3922.5
2.0,1.0,900.0,0.8618311036789298,1012.7804996361872
2.0,2.0,1000.0,0.9701200097967181,1332.3032062610453
2.0,3.0,1300.0,0.647556142668428,918.7764177886577
2.0,4.0,1600.0,0.4178970917225951,2150.5
2.0,5.0,1800.0,0.37055837563451777,3220.5981735159817
2.0,6.0,2200.0,0.4044943820224719,2952.75
2.0,7.0,2500.0,0.11538461538461539,2039.0
2.0,1.0,1000.0,0.868825646058227,1587.40625
2.0,2.0,1400.0,0.8187693898655636,1925.7713924850016
2.0,3.0,1600.0,0.7149591451917033,1572.2703296703296
2.0,4.0,1900.0,0.6747967479674797,2177.089156626506
2.0,5.0,2300.0,0.6828358208955224,1474.032786885246
2.0,6.0,2400.0,0.7712765957446809,1170.0344827586207
2.0,7.0,2500.0,0.5609756097560976,2990.1304347826085
3.0,1.0,800.0,0.9260966750488964,1257.3895006788355
3.0,2.0,1000.0,0.9515540892516062,1399.0397810218979
3.0,3.0,1300.0,0.6648021545473379,1232.4674353381115
