contest_type,question_no,q_rating,accuracy,avg_solving_time
2.0,1.0,1400.0,0.41395856052344604,1586.6001053740779
2.0,2.0,1200.0,0.8131703666749813,2020.8003067484663
2.0,3.0,1800.0,0.27459231983166754,2967.067049808429
2.0,4.0,2000.0,0.734375,2599.3829787234044
2.0,5.0,2700.0,0.034013605442176874,3447.6
2.0,1.0,1300.0,0.44611848825331973,1985.0097309673727
2.0,2.0,1300.0,0.8562724014336918,1979.054834658853
2.0,3.0,1600.0,0.4559748427672956,2180.056157635468
2.0,4.0,1800.0,0.5213004484304933,2436.8559139784948
2.0,5.0,2200.0,0.6216216216216216,2555.391304347826
2.0,6.0,2400.0,0.14285714285714285,1647.5
2.0,1.0,1000.0,0.880115424973767,1510.4235469448583
2.0,2.0,1200.0,0.8331744518589133,1527.7124332570556
2.0,3.0,1400.0,0.7094812164579607,1511.6913767019666
2.0,4.0,2400.0,0.29896907216494845,2816.4137931034484
2.0,5.0,2100.0,0.39556135770234985,2263.4125412541252
2.0,6.0,2000.0,0.5023183925811437,2504.3507692307694
2.0,7.0,2200.0,0.7108433734939759,1809.0762711864406
4.0,1.0,3200.0,1.0,2689.8367346938776
4.0,2.0,3200.0,1.0,1158.837837837838
4.0,3.0,3200.0,1.0,493.78350515463916
4.0,4.0,3200.0,1.0,714.265306122449
4.0,5.0,3200.0,1.0,1557.9495798319329
4.0,6.0,3200.0,1.0,342.3804347826087
4.0,7.0,3200.0,1.0,202.54117647058823
4.0,8.0,3200.0,1.0,174.875
4.0,9.0,3200.0,1.0,176.13793103448276
4.0,10.0,3200.0,1.0,236.80722891566265
4.0,11.0,3200.0,1.0,1457.5978260869565
4.0,12.0,3200.0,1.0,221.4022988505747
4.0,13.0,3200.0,1.0,189.1851851851852
4.0,14.0,3200.0,1.0,1467.024
2.0,1.0,800.0,0.9622785292436654,923.869332805385
2.0,2.0,1100.0,0.8703128237000207,1385.079980956915
2.0,3.0,1300.0,0.691861929957168,2022.0717407137654
2.0,4.0,1700.0,0.5336658354114713,2309.4182242990655
2.0,5.0,2100.0,0.37362637362637363,2690.860294117647
2.0,6.0,2600.0,0.3,2832.6666666666665
1.0,1.0,1800.0,0.8403990024937655,1724.6973293768547
1.0,2.0,1700.0,0.9746192893401016,1940.0260416666667
1.0,3.0,2900.0,0.6,3298.2
1.0,4.0,2600.0,0.9767441860465116,2963.0
1.0,5.0,3400.0,0.0,0.0
2.0,1.0,800.0,0.9091594421409724,989.4243366500829
2.0,2.0,900.0,0.9741065696554676,1300.7491212653779
2.0,3.0,1800.0,0.2642857142857143,3197.2135135135136
2.0,4.0,1700.0,0.7316176470588235,3223.907035175879
2.0,5.0,2900.0,0.0,0.0
1.0,1.0,900.0,0.8030212681375473,1160.093316831683
1.0,2.0,1200.0,0.6536502546689303,2026.9642857142858
1.0,3.0,1800.0,0.36611711199545194,3722.4301242236024
1.0,4.0,1900.0,0.6368375325803649,4068.474761255116
1.0,5.0,2400.0,0.8040540540540541,3823.201680672269
1.0,6.0,3000.0,0.1259259259259259,2491.470588235294
1.0,7.0,2600.0,0.9139784946236559,3507.3176470588237
1.0,8.0,3400.0,0.2,6391.0
2.0,1.0,900.0,0.702955560280672,1496.9506957047793
2.0,2.0,2000.0,0.03126526624328285,2731.4375
2.0,3.0,1600.0,0.8054830287206266,3189.2058346839544
2.0,4.0,2200.0,0.14814814814814814,3672.375
2.0,5.0,2400.0,0.4,4192.333333333333
2.0,1.0,900.0,0.9226270805218174,882.4822038030229
2.0,2.0,1300.0,0.6441812564366632,1534.5315747402078
2.0,3.0,1700.0,0.37304758445332364,2666.064264849075
2.0,4.0,2200.0,0.18876080691642652,2409.1984732824426
2.0,5.0,2300.0,0.35883905013192613,2987.7720588235293
2.0,6.0,2400.0,0.7307692307692307,2066.9473684210525
2.0,7.0,2300.0,0.8260869565217391,2717.3508771929824
4.0,1.0,900.0,0.8955668477308568,962.976912541577
4.0,2.0,1200.0,0.7536291147004702,1192.421052631579
4.0,3.0,1600.0,0.6293251113394999,2558.0903647250952
4.0,4.0,1800.0,0.7257336343115124,2666.1026438569206
4.0,5.0,2400.0,0.6222222222222222,3764.5714285714284
4.0,6.0,2800.0,0.8,3044.9444444444443
4.0,7.0,3200.0,0.22,3889.090909090909
4.0,8.0,3400.0,0.0,0.0
2.0,1.0,800.0,0.9032685512367491,1125.7567237163814
2.0,2.0,1300.0,0.6193282262816735,1834.8763082778307
2.0,3.0,2500.0,0.06280193236714976,3011.6923076923076
2.0,4.0,2100.0,0.5618729096989966,4001.5476190476193
2.0,5.0,2400.0,0.055793991416309016,3403.3846153846152
4.0,1.0,800.0,0.969527832252225,862.3074529329392
4.0,2.0,1200.0,0.842274462527627,1975.8947996183206
4.0,3.0,1500.0,0.6499396863691195,1863.775426874536
4.0,4.0,2200.0,0.8926441351888668,3664.37416481069
4.0,5.0,2500.0,0.9378531073446328,2612.0843373493976
