contest_type,question_no,q_rating,accuracy,avg_solving_time
4.0,1.0,-1.0,0.9428076256499134,576.0404411764706
4.0,2.0,-1.0,0.9233511586452763,1253.2490347490348
4.0,3.0,-1.0,0.8789571694599627,1882.2542372881355
4.0,4.0,-1.0,0.8840579710144928,2351.758782201405
4.0,5.0,-1.0,0.6456140350877193,3174.7065217391305
4.0,6.0,-1.0,0.29411764705882354,3767.0
4.0,7.0,-1.0,0.29411764705882354,4263.04
4.0,8.0,-1.0,0.5,1964.0
4.0,1.0,-1.0,0.8663911845730028,2453.2146263910968
4.0,2.0,-1.0,0.8920863309352518,1845.5403225806451
4.0,3.0,-1.0,0.9545454545454546,1857.5750915750916
4.0,4.0,-1.0,0.9414893617021277,1761.316384180791
4.0,5.0,-1.0,0.8264462809917356,1944.49
4.0,6.0,-1.0,0.8026315789473685,2045.377049180328
4.0,7.0,-1.0,0.6538461538461539,2076.294117647059
4.0,8.0,-1.0,0.4,1796.75
4.0,9.0,-1.0,0.2857142857142857,2856.0
3.0,1.0,800.0,0.9841269841269841,1028.6089042921888
3.0,2.0,1200.0,0.817594983400959,1854.3422061809158
3.0,3.0,1300.0,0.7829218106995884,1993.3022339027596
3.0,4.0,2000.0,0.3039134054954205,2419.5260273972603
3.0,5.0,2200.0,0.6428571428571429,2927.527777777778
3.0,6.0,1900.0,0.46920821114369504,2826.34375
4.0,1.0,1700.0,0.84,1711.7687074829932
4.0,2.0,2500.0,0.5151515151515151,2570.264705882353
4.0,3.0,2800.0,0.6666666666666666,2629.3
4.0,4.0,2300.0,0.6388888888888888,3594.1739130434785
4.0,5.0,2900.0,0.7083333333333334,4256.529411764706
4.0,6.0,3400.0,1.0,5665.5
1.0,1.0,1700.0,0.944954128440367,1614.0038834951456
1.0,2.0,2500.0,0.48947368421052634,3179.2150537634407
1.0,3.0,2800.0,0.6551724137931034,3278.7105263157896
1.0,4.0,2300.0,0.672077922077922,3662.352657004831
1.0,5.0,2900.0,0.7222222222222222,3405.846153846154
1.0,6.0,3400.0,1.0,4029.6
2.0,1.0,800.0,0.9665936473165389,1181.37223796034
2.0,2.0,1300.0,0.7632215693052194,1944.4148550724638
2.0,3.0,1200.0,0.9617883072220099,2036.9825188716727
2.0,4.0,1700.0,0.44948453608247424,3277.863914373089
2.0,5.0,2500.0,0.0625,3746.0
2.0,6.0,2800.0,0.0,0.0
2.0,1.0,900.0,0.9413786864483444,1482.8497020949453
2.0,2.0,1700.0,0.6109347442680776,2422.363163972286
2.0,3.0,1500.0,0.665749311983988,2122.4704998121006
2.0,4.0,1900.0,0.5045207956600362,1927.9952210274791
2.0,5.0,2500.0,0.30303030303030304,2842.5
2.0,6.0,2700.0,0.38461538461538464,2961.2
4.0,1.0,-1.0,0.9870466321243523,256853.67979002625
4.0,2.0,-1.0,0.9889240506329114,34996.16
4.0,3.0,-1.0,0.9872727272727273,12433.73664825046
4.0,4.0,-1.0,0.8387096774193549,22692.032544378697
4.0,5.0,-1.0,0.8,25322.696428571428
4.0,6.0,-1.0,0.8658536585365854,26787.985915492958
4.0,7.0,-1.0,0.941747572815534,58887.0206185567
1.0,1.0,800.0,0.9424594633376381,1107.1601705237515
1.0,2.0,1300.0,0.802158273381295,1699.3078475336322
1.0,3.0,1500.0,0.748191027496382,1923.8936170212767
1.0,4.0,1900.0,0.46788990825688076,2668.8582887700536
1.0,5.0,2500.0,0.6121883656509696,3357.633484162896
1.0,6.0,3300.0,0.2631578947368421,2818.3
1.0,7.0,3100.0,0.352112676056338,2249.64
2.0,1.0,800.0,0.9528130671506352,771.743365079365
2.0,2.0,1100.0,0.9305724725943971,1847.3859620418848
2.0,3.0,1500.0,0.790194075587334,1890.36892450879
2.0,4.0,1800.0,0.8358302122347067,2589.809559372666
2.0,5.0,2000.0,0.7204843592330978,2144.317927170868
2.0,6.0,2300.0,0.6473988439306358,2323.973214285714
2.0,7.0,2400.0,0.6031746031746031,1096.157894736842
2.0,1.0,800.0,0.9731306990881459,841.8077211394303
2.0,2.0,1500.0,0.6051136363636364,2085.9824561403507
2.0,3.0,1700.0,0.6432270373398746,2200.767372881356
2.0,4.0,2000.0,0.5854430379746836,2999.2283783783782
2.0,5.0,2500.0,0.5,3217.0392156862745
2.0,6.0,2600.0,0.25,3029.8333333333335
2.0,1.0,800.0,0.9488083787538741,963.8095291732373
2.0,2.0,1400.0,0.7006083046813012,1939.605134012835
