contest_type,question_no,q_rating,accuracy,avg_solving_time
2.0,1.0,800.0,0.95695067264574,718.0116213683224
2.0,2.0,1300.0,0.7712646545273135,1934.9333764553687
2.0,3.0,1600.0,0.7630459992269037,2298.7370820668693
2.0,4.0,1800.0,0.5532047293092719,1826.8605174353206
2.0,5.0,2500.0,0.7333333333333333,2872.181818181818
2.0,6.0,2300.0,0.65748031496063,2618.317365269461
2.0,7.0,2400.0,0.6272189349112426,1878.5188679245282
3.0,1.0,800.0,0.9723736822973464,1103.9796261682243
3.0,2.0,900.0,0.818249813014211,869.8967093235832
3.0,3.0,1400.0,0.692875599852344,2397.951518380394
3.0,4.0,1600.0,0.638728323699422,2378.561990950226
3.0,5.0,1900.0,0.37402190923317685,2251.3723849372386
3.0,6.0,1900.0,0.434375,2032.8489208633093
4.0,1.0,800.0,0.9413243922883487,1372.1976847729297
4.0,2.0,1100.0,0.650355871886121,1645.8686730506156
4.0,3.0,1600.0,0.5511627906976744,2690.4767932489453
4.0,4.0,1700.0,0.9398907103825137,2240.8837209302324
4.0,5.0,2300.0,0.1,4370.5
4.0,6.0,2500.0,0.0,0.0
4.0,7.0,2900.0,0.0,0.0
1.0,1.0,1600.0,0.9418604651162791,1031.5123456790122
1.0,2.0,1700.0,0.9819639278557114,1125.4510204081632
1.0,3.0,2300.0,0.5314136125654451,3317.35960591133
1.0,4.0,2500.0,0.9035087719298246,2710.2718446601943
1.0,5.0,2900.0,0.7666666666666667,3125.2608695652175
1.0,6.0,3500.0,0.5,2214.0
2.0,1.0,800.0,0.9604326035346874,1221.5171656138423
2.0,2.0,1100.0,0.7906588824020017,1355.865682137834
2.0,3.0,1600.0,0.7049089906232764,2494.10406885759
2.0,4.0,1700.0,0.9080578512396694,1991.8782707622297
2.0,5.0,2300.0,0.0958904109589041,3614.714285714286
2.0,6.0,2500.0,0.5714285714285714,2950.25
3.0,1.0,800.0,0.9772869347780788,1212.1667377398721
3.0,2.0,800.0,0.9812786297550289,892.7109803125634
3.0,3.0,1700.0,0.31066176470588236,3514.310650887574
3.0,4.0,2200.0,0.12599681020733652,2791.5949367088606
3.0,5.0,2200.0,0.07733812949640288,2632.4651162790697
3.0,6.0,2000.0,0.24489795918367346,2602.25
