contest_type,question_no,q_rating,accuracy,avg_solving_time
2.0,1.0,800.0,0.8973319824383654,1107.2334713335842
2.0,2.0,1300.0,0.5858169035610576,2420.283850769632
2.0,3.0,1700.0,0.7575196668209162,2792.163714111179
2.0,4.0,2300.0,0.43790849673202614,2892.082089552239
2.0,5.0,2700.0,0.04887218045112782,3272.3076923076924
2.0,6.0,2700.0,0.02040816326530612,3483.0
4.0,1.0,800.0,0.9698303767965817,1353.3193591455274
4.0,2.0,1400.0,0.6250914411119239,2359.024868344061
4.0,3.0,1500.0,0.9682982500634035,2751.4889994761656
4.0,4.0,2000.0,0.6911281489594743,2708.2369255150556
4.0,5.0,2400.0,0.9038817005545287,1953.0245398773006
4.0,6.0,2300.0,0.753968253968254,2699.2894736842104
4.0,7.0,2700.0,0.8584070796460177,2611.5876288659792
4.0,8.0,3300.0,0.14545454545454545,2019.25
4.0,9.0,3200.0,0.391304347826087,4049.777777777778
3.0,1.0,800.0,0.9605189576110055,1111.641243595715
3.0,2.0,900.0,0.875937680323139,1529.016304347826
3.0,3.0,1100.0,0.9086261980830671,2186.7346460384433
3.0,4.0,1500.0,0.5312252964426878,2014.3980654761904
3.0,5.0,1800.0,0.6197636949516648,2357.904679376083
3.0,6.0,2000.0,0.8385093167701864,2056.6444444444446
1.0,1.0,1500.0,0.9798183652875883,861.7806385169928
1.0,2.0,2000.0,0.7163355408388521,2029.5701078582435
1.0,3.0,2000.0,0.8398983481575604,2331.7942511346446
1.0,4.0,2600.0,0.675,2736.253086419753
1.0,5.0,3200.0,0.24324324324324326,2930.1111111111113
1.0,6.0,3300.0,0.625,2605.9
2.0,1.0,800.0,0.9688513200555813,1041.7123222182383
2.0,2.0,1100.0,0.671919770773639,1906.4684434968017
2.0,3.0,1500.0,0.8065335753176044,2468.2241224122413
2.0,4.0,2000.0,0.2791380999020568,2813.684210526316
2.0,5.0,2000.0,0.5080213903743316,3136.694736842105
2.0,6.0,2600.0,0.07407407407407407,4396.5
4.0,1.0,1400.0,0.5407586763518967,3487.1134328358207
4.0,2.0,2600.0,0.5,4562.96875
4.0,3.0,3100.0,0.0625,7893.0
4.0,4.0,2300.0,0.7986577181208053,5174.084033613445
4.0,5.0,2200.0,0.5172413793103449,5912.288888888889
4.0,6.0,1400.0,0.995260663507109,2419.063492063492
4.0,7.0,1300.0,0.9427609427609428,1748.35
