contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
986,1600,1,1,0.9825242718446602,1050.6225296442688,0.9638095238095238,9,525,506,515,531615
986,1800,1,2,0.8635437881873728,1407.7971698113208,0.8076190476190476,67,525,424,491,596906
986,2500,1,3,0.4027777777777778,2687.287356321839,0.1657142857142857,129,525,87,216,233794
986,3100,1,4,0.08247422680412371,2816.625,0.015238095238095238,89,525,8,97,22533
986,2800,1,5,0.5853658536585366,3779.75,0.045714285714285714,17,525,24,41,90714
986,3300,1,6,0.36363636363636365,1777.0,0.007619047619047619,7,525,4,11,7108
987,800,2,1,0.9913793103448276,1074.0326086956522,0.9480192351728876,36,4367,4140,4176,4446495
987,1100,2,2,0.6698181818181819,1407.8009410061527,0.6326997939088619,1362,4367,2763,4125,3889754
987,1400,2,3,0.7230202578268876,1946.745287824758,0.4495076711701397,752,4367,1963,2715,3821461
987,1600,2,4,0.6322444678609063,1996.8316666666667,0.13739409205404168,349,4367,600,949,1198099
987,1800,2,5,0.5439739413680782,2164.4830339321356,0.1147240668651248,420,4367,501,921,1084406
987,2500,2,6,0.0761904761904762,2487.625,0.0018319212273872224,97,4367,8,105,19901
981,900,4,1,0.9000951474785919,1017.7241014799155,0.8816402609506058,315,3219,2838,3153,2888301
981,1000,4,2,0.9090593543908365,1065.6407025582284,0.8136067101584343,262,3219,2619,2881,2790913
981,1400,4,3,0.9030333167578319,1976.22577092511,0.5641503572538056,195,3219,1816,2011,3588826
981,1900,4,4,0.5567890691716482,2557.6886503067485,0.20254737496116806,519,3219,652,1171,1667613
981,2200,4,5,0.534804753820034,2782.746031746032,0.097856477166822,274,3219,315,589,876565
981,2500,4,6,0.5555555555555556,3255.6,0.027958993476234855,72,3219,90,162,293004
981,2500,4,7,0.6140350877192983,3918.6857142857143,0.032618825722273995,66,3219,105,171,411462
981,3100,4,8,0.45454545454545453,4467.4,0.0015532774153463808,6,3219,5,11,22337
985,1100,2,1,0.8416340235030778,1239.7244015957447,0.7708867247565351,566,3902,3008,3574,3729091
985,1200,2,2,0.8101767215112736,1319.8867995487026,0.6814454126089186,623,3902,2659,3282,3509579
985,1500,2,3,0.6504369538077404,2423.0818937939857,0.40056381342901076,840,3902,1563,2403,3787277
985,2100,2,4,0.3456221198156682,2582.4666666666667,0.07688364941055868,568,3902,300,868,774740
