contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
869,1100,2,1,0.6352705410821643,1256.3077963046417,0.5900026588673225,1274,3761,2219,3493,2787747
869,1100,2,2,0.7281935846933033,1524.7275888717156,0.6881148630683329,966,3761,2588,3554,3945995
869,1800,2,3,0.8563899868247694,3345.886153846154,0.1728263759638394,109,3761,650,759,2174826
869,2800,2,4,0.06666666666666667,1666.0,0.00026588673225206064,14,3761,1,15,1666
869,2400,2,5,0.2564102564102564,3285.25,0.010635469290082425,116,3761,40,156,131410
868,900,1,1,0.8740302918359808,1251.9894336432799,0.8526126126126126,341,2775,2366,2707,2962207
868,1400,1,2,0.5086315789473684,2279.514900662252,0.4353153153153153,1167,2775,1208,2375,2753654
868,1500,1,3,0.5842450765864332,3255.614232209738,0.3848648648648649,760,2775,1068,1828,3476996
868,2200,1,4,0.3395638629283489,4291.564220183486,0.07855855855855856,424,2775,218,642,935561
868,2700,1,5,0.5737704918032787,3443.3714285714286,0.012612612612612612,26,2775,35,61,120518
868,2500,1,6,0.4642857142857143,3806.9538461538464,0.023423423423423424,75,2775,65,140,247452
868,3300,1,7,0.0,0.0,0.0,3,2775,0,3,0
865,1400,4,1,0.9411764705882353,625.0625,0.8888888888888888,1,18,16,17,10001
865,1900,4,2,0.7777777777777778,2086.1428571428573,0.7777777777777778,4,18,14,18,29206
865,2400,4,3,0.7142857142857143,2671.9,0.5555555555555556,4,18,10,14,26719
865,2400,4,4,0.9,3191.0,0.5,1,18,9,10,28719
865,3300,4,5,0.0,0.0,0.0,2,18,0,2,0
865,3300,4,6,0.0,0.0,0.0,1,18,0,1,0
865,3300,4,7,0.0,0.0,0.0,0,18,0,0,0
866,1400,1,1,0.997624703087886,1050.6166666666666,0.9722222222222222,1,432,420,421,441259
866,1900,1,2,0.607940446650124,2782.012244897959,0.5671296296296297,158,432,245,403,681593
866,2400,1,3,0.6737588652482269,3239.547368421053,0.2199074074074074,46,432,95,141,307757
866,2400,1,4,0.6802325581395349,3648.991452991453,0.2708333333333333,55,432,117,172,426932
866,3300,1,5,0.25,4465.5,0.004629629629629629,6,432,2,8,8931
866,3300,1,6,1.0,6693.5,0.004629629629629629,0,432,2,2,13387
866,3300,1,7,0.125,6003.0,0.0023148148148148147,7,432,1,8,6003
867,800,2,1,0.9860945570123163,880.0979049153908,0.9771653543307086,35,2540,2482,2517,2184403
867,1400,2,2,0.9705654531371031,2678.615323224262,0.4933070866141732,38,2540,1253,1291,3356305
867,1900,2,3,0.300709219858156,4933.721698113208,0.08346456692913386,493,2540,212,705,1045949
867,2400,2,4,0.25,6328.25,0.0015748031496062992,12,2540,4,16,25313
867,2400,2,5,0.1702127659574468,4751.0,0.012598425196850394,156,2540,32,188,152032
867,3300,2,6,0.0,0.0,0.0,0,2540,0,0,0
864,1000,2,1,0.8085634502016754,1136.8050652340753,0.7908952959028832,617,3295,2606,3223,2962514
864,1000,2,2,0.9117952265652024,1269.9821699544764,0.8,255,3295,2636,2891,3347673
864,1500,2,3,0.6606796116504854,2218.5576781778104,0.4130500758725341,699,3295,1361,2060,3019457
864,1500,2,4,0.794954721862872,2097.5768917819364,0.37298937784522,317,3295,1229,1546,2577922
864,2000,2,5,0.41030927835051545,2419.356783919598,0.06039453717754173,286,3295,199,485,481452
864,2700,2,6,0.11538461538461539,1678.3333333333333,0.0009104704097116844,23,3295,3,26,5035
855,800,4,1,0.9816462736373749,787.1019830028329,0.9589785384406412,66,3681,3530,3596,2778470
855,1500,4,2,0.45699257425742573,2429.5233581584293,0.4012496604183646,1755,3681,1477,3232,3588406
855,2000,4,3,0.7669724770642202,3424.4904306220096,0.11355609888617224,127,3681,418,545,1431437
855,2500,4,4,0.3032258064516129,2973.68085106383,0.025536538983971745,216,3681,94,310,279526
855,2200,4,5,0.6201780415430267,3366.1435406698565,0.05677804944308612,128,3681,209,337,703524
855,3100,4,6,0.4444444444444444,4192.916666666667,0.0032599837000814994,15,3681,12,27,50315
855,3300,4,7,0.6666666666666666,3504.0,0.0010866612333604998,2,3681,4,6,14016
863,900,4,1,0.9057430951337133,1343.0474346563408,0.8530140379851362,215,2422,2066,2281,2774736
863,1500,4,2,0.519175729822553,1564.5523704520397,0.3744838976052849,840,2422,907,1747,1419049
863,1800,4,3,0.49925705794947994,2481.252976190476,0.13872832369942195,337,2422,336,673,833701
863,1800,4,4,0.8574712643678161,1835.514745308311,0.15400495458298927,62,2422,373,435,684647
863,2000,4,5,0.5272727272727272,1995.471264367816,0.07184145334434351,156,2422,174,330,347212
863,2200,4,6,0.5978260869565217,1512.1636363636364,0.022708505367464906,37,2422,55,92,83169
863,3200,4,7,0.0,0.0,0.0,3,2422,0,3,0
862,1000,2,1,0.8076620309630018,1103.6591942820014,0.7945276200309758,733,3874,3078,3811,3397063
862,1300,2,2,0.7358834244080146,1773.8732673267327,0.5214248838409912,725,3874,2020,2745,3583224
862,1900,2,3,0.27902621722846443,3168.993288590604,0.07692307692307693,770,3874,298,1068,944360
862,2000,2,4,0.5686900958466453,3522.9157303370785,0.04594734124935467,135,3874,178,313,627079
862,2100,2,5,0.6363636363636364,3226.4166666666665,0.021683014971605574,48,3874,84,132,271019
862,2900,2,6,0.5,2894.0,0.0002581311306143521,1,3874,1,2,2894
847,1500,4,1,0.8945086705202312,2172.0953150242326,0.518425460636516,73,1194,619,692,1344527
847,1600,4,2,0.6791044776119403,2219.068131868132,0.38107202680067004,215,1194,455,670,1009676
847,1800,4,3,0.7004950495049505,2083.4558303886924,0.2370184254606365,121,1194,283,404,589618
847,2200,4,4,0.6509433962264151,1750.8695652173913,0.05778894472361809,37,1194,69,106,120810
847,1800,4,5,0.7701612903225806,2020.2146596858638,0.15996649916247907,57,1194,191,248,385861
847,2100,4,6,0.7588652482269503,1765.4859813084113,0.08961474036850921,34,1194,107,141,188907
847,900,4,7,0.975925925925926,2057.273244781784,0.8827470686767169,26,1194,1054,1080,2168366
847,1600,4,8,0.8490566037735849,2181.237037037037,0.3391959798994975,72,1194,405,477,883401
847,1900,4,9,0.8376068376068376,1819.9948979591836,0.16415410385259632,38,1194,196,234,356719
847,2400,4,10,0.7333333333333333,1636.7045454545455,0.03685092127303183,16,1194,44,60,72015
847,1800,4,11,0.9740932642487047,1744.1170212765958,0.1574539363484087,5,1194,188,193,327894
847,2400,4,12,0.8444444444444444,2115.2894736842104,0.031825795644891124,7,1194,38,45,80381
847,1000,4,13,0.974671669793621,1422.3512993262752,0.8701842546063652,27,1194,1039,1066,1477823
858,1100,4,1,0.5984174085064293,1463.5685950413224,0.524263431542461,406,1154,605,1011,885459
858,1500,4,2,0.4370257966616085,2063.621527777778,0.24956672443674177,371,1154,288,659,594323
858,1500,4,3,0.4317241379310345,2664.2172523961663,0.27123050259965337,412,1154,313,725,833900
858,1600,4,4,0.5138339920948617,2622.123076923077,0.11265164644714037,123,1154,130,253,340876
858,2200,4,5,0.35714285714285715,4320.6,0.008665511265164644,18,1154,10,28,43206
858,2300,4,6,0.4,2578.25,0.006932409012131715,12,1154,8,20,20626
860,1500,1,1,0.8075,1058.1300309597523,0.8054862842892768,77,401,323,400,341776
860,1600,1,2,0.907035175879397,1677.5429362880886,0.9002493765586035,37,401,361,398,605593
860,2200,1,3,0.5025906735751295,3185.1237113402062,0.24189526184538654,96,401,97,193,308957
860,2300,1,4,0.6140350877192983,2790.6857142857143,0.26184538653366585,66,401,105,171,293022
860,2700,1,5,0.35,3317.4761904761904,0.05236907730673317,39,401,21,60,69667
