contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
1475,900,3,1,0.7943478260869565,1088.3526468058487,0.6615456238361266,3311,19332,12789,16100,13918942
1475,900,3,2,0.7923924180327869,1322.3577662841442,0.6400786261121456,3242,19332,12374,15616,16362855
1475,1400,3,3,0.5469513045904841,2051.5163265306123,0.20277260500724187,3247,19332,3920,7167,8041944
1475,1800,3,4,0.37236679058240396,2173.623960066556,0.031088350920753155,1013,19332,601,1614,1306348
1475,1600,3,5,0.6774856203779787,2457.758035172832,0.08529898613697497,785,19332,1649,2434,4052843
1475,1900,3,6,0.7469879518072289,1676.715053763441,0.009621353196772191,63,19332,186,249,311869
1475,1900,3,7,0.4745762711864407,1589.1339285714287,0.005793503000206911,124,19332,112,236,177983
1474,800,2,1,0.9512340934324024,1472.683695456994,0.8499046165585654,571,13105,11138,11709,16402751
1474,1000,2,2,0.7754553339115351,1914.6575327144615,0.6822586798931706,2589,13105,8941,11530,17118953
1474,1700,2,3,0.6602870813397129,2973.8990338164253,0.15795497901564287,1065,13105,2070,3135,6155971
1474,2200,2,4,0.1895845523698069,2779.679012345679,0.024723388019839757,1385,13105,324,1709,900616
1474,2500,2,5,0.14720812182741116,3146.206896551724,0.0022128958412819533,168,13105,29,197,91240
1474,3000,2,6,0.0,0.0,0.0,5,13105,0,5,0
1473,800,2,1,0.9471940360323048,938.4357236554438,0.9143123667377399,765,15008,13722,14487,12877215
1473,1000,2,2,0.8476118271417741,1748.1002782746968,0.6704424307036247,1809,15008,10062,11871,17589385
1473,1500,2,3,0.7821062441752097,2586.8455672068635,0.27958422174840086,1169,15008,4196,5365,10854404
1473,1700,2,4,0.6722113502935421,2501.3920426977197,0.1373267590618337,1005,15008,2061,3066,5155369
1473,2400,2,5,0.35261194029850745,1902.6137566137565,0.012593283582089552,347,15008,189,536,359594
1473,2700,2,6,0.34545454545454546,2070.3947368421054,0.0025319829424307037,72,15008,38,110,78675
1473,2800,2,7,0.42424242424242425,3450.9285714285716,0.0009328358208955224,19,15008,14,33,48313
1467,900,2,1,0.7404798591239269,2106.013872374158,0.718905827040889,3537,14038,10092,13629,21253892
1467,1700,2,2,0.25567765567765566,2676.597625869832,0.17402763926485254,7112,14038,2443,9555,6538928
1467,1900,2,3,0.53709604005462,2945.849152542373,0.08405755805670323,1017,14038,1180,2197,3476102
1467,2200,2,4,0.8468468468468469,2425.9202127659573,0.02678444222823764,68,14038,376,444,912146
1467,2500,2,5,0.2540983606557377,2847.064516129032,0.0022082917794557628,91,14038,31,122,88259
1470,1300,1,1,0.989,944.7158746208291,0.9850597609561753,11,1004,989,1000,934324
1470,1900,1,2,0.8607329842931937,2291.3771289537713,0.8187250996015937,133,1004,822,955,1883512
