contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
764,800,2,1,0.9485981308411215,859.2357494722027,0.9342537804076265,231,4563,4263,4494,3662922
764,900,2,2,0.8912163770530827,1154.8274572649573,0.8205128205128205,457,4563,3744,4201,4323674
764,1600,2,3,0.5218412400187882,2990.955895589559,0.24348016655708962,1018,4563,1111,2129,3322952
764,2100,2,4,0.527363184079602,2397.0377358490564,0.023230330922638615,95,4563,106,201,254086
764,2600,2,5,0.058333333333333334,2907.1428571428573,0.0015340784571553803,113,4563,7,120,20350
761,1000,2,1,0.7012159814707586,1738.766308835673,0.6946462715105163,1548,5230,3633,5181,6316938
761,1300,2,2,0.7056622599151908,1979.1937080240368,0.5409177820267687,1180,5230,2829,4009,5599139
761,1500,2,3,0.5822416302765647,1929.7375,0.2294455066921606,861,5230,1200,2061,2315685
761,1700,2,4,0.8281389136242209,2142.9193548387098,0.17782026768642448,193,5230,930,1123,1992915
761,2000,2,5,0.6428571428571429,2088.9082125603863,0.0395793499043977,115,5230,207,322,432404
761,2600,2,6,0.375,3472.6666666666665,0.0005736137667304016,5,5230,3,8,10418
762,1400,4,1,0.493,1678.656524678837,0.46175460505775834,1521,3203,1479,3000,2482733
762,1400,4,2,0.7697401935812532,2019.9510258107214,0.4717452388385888,452,3203,1511,1963,3052146
762,2100,4,3,0.23350923482849603,2623.6610169491523,0.05526069310021855,581,3203,177,758,464388
762,2300,4,4,0.54,2833.0493827160494,0.025288791757727132,69,3203,81,150,229477
762,2200,4,5,0.5042016806722689,2986.1833333333334,0.018732438339057134,59,3203,60,119,179171
762,2800,4,6,0.625,3183.0,0.0015610365282547611,3,3203,5,8,15915
756,1700,4,1,0.9746835443037974,748.3246753246754,0.9685534591194969,4,159,154,158,115242
756,1600,4,2,0.9807692307692307,903.9150326797386,0.9622641509433962,3,159,153,156,138299
756,2200,4,3,0.9090909090909091,1888.58,0.6289308176100629,10,159,100,110,188858
756,2400,4,4,0.9090909090909091,2198.7555555555555,0.5660377358490566,9,159,90,99,197888
756,3200,4,5,0.26666666666666666,2989.75,0.025157232704402517,11,159,4,15,11959
756,3400,4,6,0.3333333333333333,3579.5,0.012578616352201259,4,159,2,6,7159
759,1700,1,1,0.9689922480620154,999.4986666666666,0.959079283887468,12,391,375,387,374812
759,1600,1,2,0.986737400530504,1300.6102150537633,0.9514066496163683,5,391,372,377,483827
759,2200,1,3,0.7288135593220338,2571.7906976744184,0.4398976982097187,64,391,172,236,442348
759,2400,1,4,0.76,2561.1052631578946,0.19437340153452684,24,391,76,100,194644
