contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
932,800,1,1,0.9786843914737566,730.6655737704918,0.9457364341085271,93,4515,4270,4363,3119942
932,1300,1,2,0.808455114822547,1493.4005810200129,0.6861572535991141,734,4515,3098,3832,4626555
932,1600,1,3,0.8637976929902396,1916.0436569080637,0.4312292358803987,307,4515,1947,2254,3730537
932,2200,1,4,0.7533632286995515,3268.5773809523807,0.07441860465116279,110,4515,336,446,1098242
932,2400,1,5,0.42950108459869846,2854.156565656566,0.043853820598006646,263,4515,198,461,565123
932,2700,1,6,0.4666666666666667,2725.5510204081634,0.010852713178294573,56,4515,49,105,133552
932,2900,1,7,0.8333333333333334,2534.6,0.0022148394241417496,2,4515,10,12,25346
933,1800,1,1,0.8240917782026769,1609.939675174014,0.7966728280961183,92,541,431,523,693884
933,2000,1,2,0.8640776699029126,2298.387640449438,0.6580406654343808,56,541,356,412,818226
933,2700,1,3,0.10028653295128939,1948.8,0.06469500924214418,314,541,35,349,68208
933,2900,1,4,0.7619047619047619,4361.8125,0.029574861367837338,5,541,16,21,69789
933,3200,1,5,0.5714285714285714,3377.75,0.0073937153419593345,3,541,4,7,13511
934,1400,2,1,0.41395856052344604,1586.6001053740779,0.4010141559264737,2687,4733,1898,4585,3011367
934,1200,2,2,0.8131703666749813,2020.8003067484663,0.6887809000633848,749,4733,3260,4009,6587809
934,1800,2,3,0.27459231983166754,2967.067049808429,0.11028945700401437,1379,4733,522,1901,1548809
934,2000,2,4,0.734375,2599.3829787234044,0.039721107120219735,68,4733,188,256,488684
934,2700,2,5,0.034013605442176874,3447.6,0.0021128248468201987,284,4733,10,294,34476
922,1300,2,1,0.44611848825331973,1985.0097309673727,0.43436101442068625,2169,4022,1747,3916,3467812
922,1300,2,2,0.8562724014336918,1979.054834658853,0.5939830929885629,401,4022,2389,2790,4727962
922,1600,2,3,0.4559748427672956,2180.056157635468,0.25236200895077077,1211,4022,1015,2226,2212757
922,1800,2,4,0.5213004484304933,2436.8559139784948,0.11561412232720039,427,4022,465,892,1133138
922,2200,2,5,0.6216216216216216,2555.391304347826,0.011437095972153158,28,4022,46,74,117548
922,2400,2,6,0.14285714285714285,1647.5,0.0004972650422675286,12,4022,2,14,3295
920,1000,2,1,0.880115424973767,1510.4235469448583,0.8212974296205631,457,4085,3355,3812,5067471
920,1200,2,2,0.8331744518589133,1527.7124332570556,0.641860465116279,525,4085,2622,3147,4005662
920,1400,2,3,0.7094812164579607,1511.6913767019666,0.4854345165238678,812,4085,1983,2795,2997684
920,2400,2,4,0.29896907216494845,2816.4137931034484,0.007099143206854345,68,4085,29,97,81676
920,2100,2,5,0.39556135770234985,2263.4125412541252,0.07417380660954713,463,4085,303,766,685814
920,2000,2,6,0.5023183925811437,2504.3507692307694,0.0795593635250918,322,4085,325,647,813914
920,2200,2,7,0.7108433734939759,1809.0762711864406,0.028886168910648716,48,4085,118,166,213471
921,3200,4,1,1.0,2689.8367346938776,0.9289099526066351,0,211,196,196,527208
921,3200,4,2,1.0,1158.837837837838,0.5260663507109005,0,211,111,111,128631
921,3200,4,3,1.0,493.78350515463916,0.4597156398104265,0,211,97,97,47897
921,3200,4,4,1.0,714.265306122449,0.46445497630331756,0,211,98,98,69998
921,3200,4,5,1.0,1557.9495798319329,0.5639810426540285,0,211,119,119,185396
921,3200,4,6,1.0,342.3804347826087,0.43601895734597157,0,211,92,92,31499
921,3200,4,7,1.0,202.54117647058823,0.4028436018957346,0,211,85,85,17216
921,3200,4,8,1.0,174.875,0.41706161137440756,0,211,88,88,15389
921,3200,4,9,1.0,176.13793103448276,0.41232227488151657,0,211,87,87,15324
921,3200,4,10,1.0,236.80722891566265,0.3933649289099526,0,211,83,83,19655
921,3200,4,11,1.0,1457.5978260869565,0.43601895734597157,0,211,92,92,134099
921,3200,4,12,1.0,221.4022988505747,0.41232227488151657,0,211,87,87,19262
921,3200,4,13,1.0,189.1851851851852,0.38388625592417064,0,211,81,81,15324
921,3200,4,14,1.0,1467.024,0.5924170616113744,0,211,125,125,183378
919,800,2,1,0.9622785292436654,923.869332805385,0.9150362318840579,198,5520,5051,5249,4666464
919,1100,2,2,0.8703128237000207,1385.079980956915,0.7610507246376812,626,5520,4201,4827,5818721
919,1300,2,3,0.691861929957168,2022.0717407137654,0.497463768115942,1223,5520,2746,3969,5552609
919,1700,2,4,0.5336658354114713,2309.4182242990655,0.15507246376811595,748,5520,856,1604,1976862
919,2100,2,5,0.37362637362637363,2690.860294117647,0.02463768115942029,228,5520,136,364,365957
919,2600,2,6,0.3,2832.6666666666665,0.0010869565217391304,14,5520,6,20,16996
917,1800,1,1,0.8403990024937655,1724.6973293768547,0.7966903073286052,64,423,337,401,581223
917,1700,1,2,0.9746192893401016,1940.0260416666667,0.9078014184397163,10,423,384,394,744970
917,2900,1,3,0.6,3298.2,0.03546099290780142,10,423,15,25,49473
917,2600,1,4,0.9767441860465116,2963.0,0.09929078014184398,1,423,42,43,124446
917,3400,1,5,0.0,0.0,0.0,2,423,0,2,0
918,800,2,1,0.9091594421409724,989.4243366500829,0.8941612604263207,482,5395,4824,5306,4772983
918,900,2,2,0.9741065696554676,1300.7491212653779,0.8437442075996293,121,5395,4552,4673,5921010
918,1800,2,3,0.2642857142857143,3197.2135135135136,0.0685820203892493,1030,5395,370,1400,1182969
918,1700,2,4,0.7316176470588235,3223.907035175879,0.07377201112140871,146,5395,398,544,1283115
918,2900,2,5,0.0,0.0,0.0,3,5395,0,3,0
914,900,1,1,0.8030212681375473,1160.093316831683,0.7872174590802806,991,5132,4040,5031,4686777
914,1200,1,2,0.6536502546689303,2026.9642857142858,0.6001558846453624,1632,5132,3080,4712,6243050
914,1800,1,3,0.36611711199545194,3722.4301242236024,0.1254871395167576,1115,5132,644,1759,2397245
914,1900,1,4,0.6368375325803649,4068.474761255116,0.14282930631332813,418,5132,733,1151,2982192
914,2400,1,5,0.8040540540540541,3823.201680672269,0.02318784099766173,29,5132,119,148,454961
914,3000,1,6,0.1259259259259259,2491.470588235294,0.003312548713951676,118,5132,17,135,42355
914,2600,1,7,0.9139784946236559,3507.3176470588237,0.016562743569758377,8,5132,85,93,298122
914,3400,1,8,0.2,6391.0,0.00019485580670303975,4,5132,1,5,6391
916,900,2,1,0.702955560280672,1496.9506957047793,0.6874610106051154,1397,4809,3306,4703,4948919
916,2000,2,2,0.03126526624328285,2731.4375,0.013308380120607194,1983,4809,64,2047,174812
916,1600,2,3,0.8054830287206266,3189.2058346839544,0.2566022042004575,298,4809,1234,1532,3935480
916,2200,2,4,0.14814814814814814,3672.375,0.0016635475150758993,46,4809,8,54,29379
916,2400,2,5,0.4,4192.333333333333,0.002495321272613849,18,4809,12,30,50308
915,900,2,1,0.9226270805218174,882.4822038030229,0.8909643788010426,344,4604,4102,4446,3619942
915,1300,2,2,0.6441812564366632,1534.5315747402078,0.5434404865334492,1382,4604,2502,3884,3839398
915,1700,2,3,0.37304758445332364,2666.064264849075,0.22306689834926152,1726,4604,1027,2753,2738048
915,2200,2,4,0.18876080691642652,2409.1984732824426,0.02845351867940921,563,4604,131,694,315605
915,2300,2,5,0.35883905013192613,2987.7720588235293,0.029539530842745437,243,4604,136,379,406337
915,2400,2,6,0.7307692307692307,2066.9473684210525,0.012380538662033015,21,4604,57,78,117816
915,2300,2,7,0.8260869565217391,2717.3508771929824,0.012380538662033015,12,4604,57,69,154889
913,900,4,1,0.8955668477308568,962.976912541577,0.8756210382045572,596,5837,5111,5707,4921775
913,1200,4,2,0.7536291147004702,1192.421052631579,0.631488778482097,1205,5837,3686,4891,4395264
913,1600,4,3,0.6293251113394999,2558.0903647250952,0.3147164639369539,1082,5837,1837,2919,4699212
913,1800,4,4,0.7257336343115124,2666.1026438569206,0.22031865684426932,486,5837,1286,1772,3428608
913,2400,4,5,0.6222222222222222,3764.5714285714284,0.028781908514647937,102,5837,168,270,632448
913,2800,4,6,0.8,3044.9444444444443,0.006167551824567415,9,5837,36,45,109618
913,3200,4,7,0.22,3889.090909090909,0.0018845297241733767,39,5837,11,50,42780
913,3400,4,8,0.0,0.0,0.0,2,5837,0,2,0
912,800,2,1,0.9032685512367491,1125.7567237163814,0.8914559721011334,438,4588,4090,4528,4604345
912,1300,2,2,0.6193282262816735,1834.8763082778307,0.458151700087184,1292,4588,2102,3394,3856910
912,2500,2,3,0.06280193236714976,3011.6923076923076,0.002833478639930253,194,4588,13,207,39152
912,2100,2,4,0.5618729096989966,4001.5476190476193,0.036617262423714034,131,4588,168,299,672260
912,2400,2,5,0.055793991416309016,3403.3846153846152,0.002833478639930253,220,4588,13,233,44244
908,800,4,1,0.969527832252225,862.3074529329392,0.9605440143476311,202,6691,6427,6629,5542050
908,1200,4,2,0.842274462527627,1975.8947996183206,0.626513226722463,785,6691,4192,4977,8282951
908,1500,4,3,0.6499396863691195,1863.775426874536,0.40263039904349124,1451,6691,2694,4145,5021011
908,2200,4,4,0.8926441351888668,3664.37416481069,0.06710506650724854,54,6691,449,503,1645304
908,2500,4,5,0.9378531073446328,2612.0843373493976,0.02480944552383799,11,6691,166,177,433606
908,2400,4,6,0.35912408759124087,3787.8414634146343,0.03676580481243461,439,6691,246,685,931809
908,2800,4,7,0.5348837209302325,2731.304347826087,0.006874906590943058,40,6691,46,86,125640
908,3100,4,8,0.38461538461538464,2461.8,0.0014945449110745778,16,6691,10,26,24618
911,1100,2,1,0.8323192990995376,928.7318713450293,0.8039492242595204,689,4254,3420,4109,3176263
911,1200,2,2,0.7778990450204638,1246.461592423711,0.6701927597555242,814,4254,2851,3665,3553662
911,1400,2,3,0.676266137040715,1881.6940773372492,0.4802538787023977,978,4254,2043,3021,3844301
911,1800,2,4,0.6774193548387096,1981.6179138321995,0.2073342736248237,420,4254,882,1302,1747787
911,2000,2,5,0.49063670411985016,2489.821882951654,0.0923836389280677,408,4254,393,801,978500
911,2400,2,6,0.6363636363636364,2362.1428571428573,0.014809590973201692,36,4254,63,99,148815
911,2500,2,7,0.13765182186234817,2200.0588235294117,0.007992477668077104,213,4254,34,247,74802
