contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
814,900,2,1,0.8204495614035088,1219.6264617440695,0.8069560528444325,655,3709,2993,3648,3650342
814,1300,2,2,0.43044451551007357,2132.2533432392274,0.3629010514963602,1781,3709,1346,3127,2870013
814,1600,2,3,0.6888888888888889,2943.360887096774,0.2674575357239148,448,3709,992,1440,2919814
814,2000,2,4,0.8181818181818182,2901.872427983539,0.06551631167430574,54,3709,243,297,705155
814,2600,2,5,0.42857142857142855,3982.6666666666665,0.0008088433540037746,4,3709,3,7,11948
813,1100,4,1,0.76,1596.5062326869806,0.7134387351778656,456,2024,1444,1900,2305355
813,1800,4,2,0.4187192118226601,1863.8,0.2099802371541502,590,2024,425,1015,792115
813,1700,4,3,0.7765814266487214,2392.5112651646446,0.28507905138339923,166,2024,577,743,1380479
813,2600,4,4,0.14814814814814814,2903.0,0.007905138339920948,92,2024,16,108,46448
813,2200,4,5,0.6311475409836066,2546.2597402597403,0.03804347826086957,45,2024,77,122,196062
813,2500,4,6,0.696969696969697,2217.3478260869565,0.011363636363636364,10,2024,23,33,50999
812,1200,2,1,0.6035036496350364,1750.298984034833,0.5806179775280899,1358,3560,2067,3425,3617868
812,1600,2,2,0.5529207634470792,2794.305439330544,0.26853932584269663,773,3560,956,1729,2671356
812,1500,2,3,0.6379310344827587,2393.5449233016802,0.3845505617977528,777,3560,1369,2146,3276763
812,2700,2,4,0.42857142857142855,3903.0,0.0016853932584269663,8,3560,6,14,23418
812,2300,2,5,0.5578947368421052,2700.301886792453,0.014887640449438203,42,3560,53,95,143116
802,1800,4,1,0.4946524064171123,2253.4108108108107,0.2765321375186846,189,669,185,374,416881
802,1800,4,2,0.7903225806451613,1579.9319727891157,0.21973094170403587,39,669,147,186,232250
802,2600,4,3,0.64,1994.1875,0.02391629297458894,9,669,16,25,31907
802,2100,4,4,0.6896551724137931,2470.5625,0.11958146487294469,36,669,80,116,197645
802,2200,4,5,0.6176470588235294,1587.0714285714287,0.06278026905829596,26,669,42,68,66657
802,2800,4,6,0.5517241379310345,2243.8125,0.02391629297458894,13,669,16,29,35901
802,800,4,7,0.9477848101265823,2215.651085141903,0.8953662182361734,33,669,599,632,1327175
802,2200,4,8,0.3644859813084112,2415.5384615384614,0.05829596412556054,68,669,39,107,94206
802,2300,4,9,0.8571428571428571,2032.642857142857,0.06278026905829596,7,669,42,49,85371
802,1400,4,10,0.9823008849557522,1861.1651651651653,0.4977578475336323,6,669,333,339,619768
802,2100,4,11,0.776595744680851,2979.6027397260273,0.10911808669656203,21,669,73,94,217511
802,2400,4,12,0.8125,2240.3846153846152,0.01943198804185351,3,669,13,16,29125
802,1200,4,13,0.9683794466403162,1473.2836734693878,0.7324364723467862,16,669,490,506,721909
802,2400,4,14,0.625,2317.2285714285713,0.052316890881913304,21,669,35,56,81103
802,2900,4,15,0.375,3374.0,0.004484304932735426,5,669,3,8,10122
811,800,2,1,0.9098919840818647,1151.7232114964074,0.8996627318718381,317,3558,3201,3518,3686666
811,1200,2,2,0.582109479305741,1828.9913990825687,0.4901630129286116,1252,3558,1744,2996,3189761
811,1900,2,3,0.40993071593533487,2751.0,0.0997751545812254,511,3558,355,866,976605
811,2100,2,4,0.5276967930029155,3732.022099447514,0.05087127599775155,162,3558,181,343,675496
811,2600,2,5,0.26666666666666666,2776.25,0.004496908375491849,44,3558,16,60,44420
809,1500,1,1,0.9774011299435028,888.306358381503,0.9719101123595506,8,356,346,354,307354
809,2200,1,2,0.5728643216080402,3036.1403508771928,0.3202247191011236,85,356,114,199,346120
809,2600,1,3,0.6986301369863014,3446.6470588235293,0.14325842696629212,22,356,51,73,175779
809,2900,1,4,0.4666666666666667,3566.285714285714,0.05898876404494382,24,356,21,45,74892
809,3100,1,5,0.25,6772.0,0.0028089887640449437,3,356,1,4,6772
810,900,2,1,0.8183925811437404,1224.471671388102,0.800453514739229,470,2646,2118,2588,2593431
810,1300,2,2,0.5778652668416447,1520.1824375473127,0.499244142101285,965,2646,1321,2286,2008161
810,1500,2,3,0.6310541310541311,2613.1230248306997,0.3348450491307634,518,2646,886,1404,2315227
810,2200,2,4,0.2755102040816326,3778.1111111111113,0.01020408163265306,71,2646,27,98,102009
810,2600,2,5,0.1,5001.0,0.0003779289493575208,9,2646,1,10,5001
808,900,4,1,0.8973862536302033,1724.8640776699028,0.8411978221415608,212,2204,1854,2066,3197898
808,1300,4,2,0.6977142857142857,1631.5331695331695,0.5539927404718693,529,2204,1221,1750,1992102
808,1400,4,3,0.7593800978792822,1849.6358754027926,0.4224137931034483,295,2204,931,1226,1722011
808,1900,4,4,0.36406067677946324,2105.0416666666665,0.14156079854809436,545,2204,312,857,656773
808,2300,4,5,0.18351063829787234,3066.376811594203,0.03130671506352087,307,2204,69,376,211580
808,2400,4,6,0.5,3072.2083333333335,0.010889292196007259,24,2204,24,48,73733
808,2300,4,7,0.3115942028985507,2847.2093023255816,0.019509981851179675,95,2204,43,138,122430
794,800,1,1,0.9639567480977173,866.1836310760283,0.9465198584349194,90,2543,2407,2497,2084904
794,1200,1,2,0.9721492380451918,1590.1351351351352,0.7274872198191112,53,2543,1850,1903,2941750
794,1800,1,3,0.35306122448979593,2871.42774566474,0.27211954384585135,1268,2543,692,1960,1987028
794,2400,1,4,0.47368421052631576,2953.939393939394,0.03893039716869839,110,2543,99,209,292440
794,2800,1,5,0.4,2247.25,0.015729453401494297,60,2543,40,100,89890
794,2800,1,6,0.36363636363636365,2547.3055555555557,0.014156508061344868,63,2543,36,99,91703
794,3400,1,7,0.0,0.0,0.0,1,2543,0,1,0
799,1100,1,1,0.7878245299910475,1340.8003787878788,0.7619047619047619,711,3465,2640,3351,3539713
799,1400,1,2,0.79199697999245,1587.6415633937083,0.6054834054834055,551,3465,2098,2649,3330872
799,1800,1,3,0.5646376811594203,2333.421971252567,0.2810966810966811,751,3465,974,1725,2272753
799,2100,1,4,0.49242424242424243,2268.4897435897437,0.11255411255411256,402,3465,390,792,884711
799,2500,1,5,0.3488372093023256,2755.6222222222223,0.025974025974025976,168,3465,90,258,248006
799,3500,1,6,0.5714285714285714,3895.25,0.0011544011544011544,3,3465,4,7,15581
799,3500,1,7,0.3333333333333333,2186.0,0.0002886002886002886,2,3465,1,3,2186
773,1700,4,1,0.9090909090909091,2036.6,0.8910891089108911,9,101,90,99,183294
773,2000,4,2,0.8387096774193549,3228.948717948718,0.7722772277227723,15,101,78,93,251858
773,2200,4,3,0.725,2963.5172413793102,0.5742574257425742,22,101,58,80,171884
773,2700,4,4,0.625,3512.9333333333334,0.1485148514851485,9,101,15,24,52694
773,3000,4,5,0.5714285714285714,2367.0,0.039603960396039604,3,101,4,7,9468
773,3400,4,6,0.0,0.0,0.0,0,101,0,0,0
806,1700,1,1,0.9116022099447514,1843.9,0.8991825613079019,32,367,330,362,608487
806,2000,1,2,0.8050541516245487,3650.627802690583,0.6076294277929155,54,367,223,277,814090
806,2200,1,3,0.6398467432950191,3725.4610778443116,0.4550408719346049,94,367,167,261,622152
806,2700,1,4,0.6714285714285714,4066.7021276595747,0.12806539509536785,23,367,47,70,191135
806,3000,1,5,0.6842105263157895,3882.3846153846152,0.035422343324250684,6,367,13,19,50471
806,3400,1,6,0.0,0.0,0.0,0,367,0,0,0
807,900,2,1,0.8776853776853777,1283.4188709040664,0.8665754361956893,353,2923,2533,2886,3250900
807,1300,2,2,0.8067779463834092,2767.418181818182,0.545672254533014,382,2923,1595,1977,4414032
807,1700,2,3,0.39093851132686086,4000.4139072847684,0.20663701676359905,941,2923,604,1545,2416250
807,2000,2,4,0.48366013071895425,4776.7972972972975,0.02531645569620253,79,2923,74,153,353483
807,2200,2,5,0.3870967741935484,4556.791666666667,0.008210742387957578,38,2923,24,62,109363
