contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
1320,1400,1,1,0.9909604519774011,499.22805017103764,0.9887260428410372,8,887,877,885,437823
1320,1700,1,2,0.9645308924485125,1391.3843416370107,0.9503945885005637,31,887,843,874,1172937
1320,2000,1,3,0.7889908256880734,2428.531561461794,0.6786922209695603,161,887,602,763,1461976
1320,2500,1,4,0.49544072948328266,2674.723926380368,0.18376550169109357,166,887,163,329,435980
1320,3000,1,5,0.6274509803921569,2702.46875,0.036076662908680945,19,887,32,51,86479
1320,3500,1,6,0.8,2573.75,0.004509582863585118,1,887,4,5,10295
1321,900,2,1,0.9004965973882656,1389.360089869281,0.8766338406445837,541,5585,4896,5437,6802307
1321,1400,2,2,0.6710163111668758,1615.8362004487658,0.47878245299910477,1311,5585,2674,3985,4320746
1321,1600,2,3,0.677992277992278,2255.4197038724374,0.3144136078782453,834,5585,1756,2590,3960517
1321,1700,2,4,0.7609302325581395,2365.539119804401,0.14646374216651745,257,5585,818,1075,1935011
1321,2000,2,5,0.4644808743169399,2637.164705882353,0.01521933751119069,98,5585,85,183,224159
1321,2500,2,6,0.19047619047619047,4236.0,0.0007162041181736795,17,5585,4,21,16944
1319,-1,4,1,0.9428076256499134,576.0404411764706,0.9411764705882353,33,578,544,577,313366
1319,-1,4,2,0.9233511586452763,1253.2490347490348,0.8961937716262975,43,578,518,561,649183
1319,-1,4,3,0.8789571694599627,1882.2542372881355,0.8166089965397924,65,578,472,537,888424
1319,-1,4,4,0.8840579710144928,2351.758782201405,0.7387543252595156,56,578,427,483,1004201
1319,-1,4,5,0.6456140350877193,3174.7065217391305,0.31833910034602075,101,578,184,285,584146
1319,-1,4,6,0.29411764705882354,3767.0,0.00865051903114187,12,578,5,17,18835
1319,-1,4,7,0.29411764705882354,4263.04,0.04325259515570934,60,578,25,85,106576
1319,-1,4,8,0.5,1964.0,0.0017301038062283738,1,578,1,2,1964
1297,-1,4,1,0.8663911845730028,2453.2146263910968,0.6896929824561403,97,912,629,726,1543072
1297,-1,4,2,0.8920863309352518,1845.5403225806451,0.2719298245614035,30,912,248,278,457694
1297,-1,4,3,0.9545454545454546,1857.5750915750916,0.2993421052631579,13,912,273,286,507118
1297,-1,4,4,0.9414893617021277,1761.316384180791,0.19407894736842105,11,912,177,188,311753
