contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
1423,3500,1,1,0.25,4395.0,0.006097560975609756,6,328,2,8,8790
1423,1900,1,2,0.813953488372093,1912.857142857143,0.6402439024390244,48,328,210,258,401700
1423,3500,1,3,0.375,2070.6666666666665,0.009146341463414634,5,328,3,8,6212
1423,3100,1,4,0.5,2634.0,0.003048780487804878,1,328,1,2,2634
1423,2700,1,5,0.4117647058823529,1711.5714285714287,0.021341463414634148,10,328,7,17,11981
1423,2700,1,6,0.5510204081632653,2369.037037037037,0.08231707317073171,22,328,27,49,63964
1423,3500,1,7,0.4,1537.0,0.006097560975609756,3,328,2,5,3074
1423,2500,1,8,0.8961038961038961,2677.4347826086955,0.21036585365853658,8,328,69,77,184743
1423,3000,1,9,0.5333333333333333,1125.375,0.024390243902439025,7,328,8,15,9003
1423,2400,1,10,0.5536723163841808,2759.4285714285716,0.29878048780487804,79,328,98,177,270424
1423,1600,1,11,0.8923076923076924,2463.0905172413795,0.7073170731707317,28,328,232,260,571437
1423,2600,1,12,0.7627118644067796,2312.133333333333,0.13719512195121952,14,328,45,59,104046
1423,2800,1,13,0.8076923076923077,1590.095238095238,0.06402439024390244,5,328,21,26,33392
1423,3500,1,14,0.0,0.0,0.0,1,328,0,1,0
1424,3500,2,1,0.0,0.0,0.0,12,748,0,12,0
1424,1900,2,2,0.6407407407407407,2378.4624277456646,0.23128342245989306,97,748,173,270,411474
1424,3500,2,3,0.0,0.0,0.0,0,748,0,0,0
1424,3100,2,4,0.0,0.0,0.0,1,748,0,1,0
1424,2700,2,5,0.0,0.0,0.0,1,748,0,1,0
1424,2700,2,6,0.02631578947368421,787.0,0.001336898395721925,37,748,1,38,787
1424,1300,2,7,0.786723163841808,2416.6409335727108,0.7446524064171123,151,748,557,708,1346069
1424,3000,2,8,0.0,0.0,0.0,0,748,0,0,0
1424,2400,2,9,0.26666666666666666,3598.5,0.0213903743315508,44,748,16,60,57576
1424,1600,2,10,0.7429805615550756,3337.7151162790697,0.45989304812834225,119,748,344,463,1148174
1424,2600,2,11,0.0,0.0,0.0,3,748,0,3,0
1424,2800,2,12,0.5,1662.0,0.004010695187165776,3,748,3,6,4986
1424,2200,2,13,0.4064516129032258,2939.031746031746,0.08422459893048129,92,748,63,155,185159
1424,3500,2,14,0.0,0.0,0.0,0,748,0,0,0
1422,800,2,1,0.8973319824383654,1107.2334713335842,0.8614503404301308,912,9253,7971,8883,8825758
1422,1300,2,2,0.5858169035610576,2420.283850769632,0.41424402896357937,2710,9253,3833,6543,9276948
1422,1700,2,3,0.7575196668209162,2792.163714111179,0.17691559494218093,524,9253,1637,2161,4570772
1422,2300,2,4,0.43790849673202614,2892.082089552239,0.014481789689830325,172,9253,134,306,387539
1422,2700,2,5,0.04887218045112782,3272.3076923076924,0.001404949746028315,253,9253,13,266,42540
1422,2700,2,6,0.02040816326530612,3483.0,0.0003242191721603804,144,9253,3,147,10449
1408,800,4,1,0.9698303767965817,1353.3193591455274,0.9014321819713563,233,8309,7490,7723,10136362
1408,1400,4,2,0.6250914411119239,2359.024868344061,0.4113611746299194,2050,8309,3418,5468,8063147
1408,1500,4,3,0.9682982500634035,2751.4889994761656,0.45950174509567937,125,8309,3818,3943,10505185
1408,2000,4,4,0.6911281489594743,2708.2369255150556,0.15188349981947286,564,8309,1262,1826,3417795
1408,2400,4,5,0.9038817005545287,1953.0245398773006,0.05885184739439162,52,8309,489,541,955029
1408,2300,4,6,0.753968253968254,2699.2894736842104,0.06860031291370802,186,8309,570,756,1538595
1408,2700,4,7,0.8584070796460177,2611.5876288659792,0.011674088337946805,16,8309,97,113,253324
1408,3300,4,8,0.14545454545454545,2019.25,0.0009628114093152004,47,8309,8,55,16154
1408,3200,4,9,0.391304347826087,4049.777777777778,0.0010831628354796004,14,8309,9,23,36448
1426,800,3,1,0.9605189576110055,1111.641243595715,0.935715842231423,353,9178,8588,8941,9546775
1426,900,3,2,0.875937680323139,1529.016304347826,0.6615820440183047,860,9178,6072,6932,9284187
1426,1100,3,3,0.9086261980830671,2186.7346460384433,0.4648071475266943,429,9178,4266,4695,9328610
1426,1500,3,4,0.5312252964426878,2014.3980654761904,0.14643713227282631,1186,9178,1344,2530,2707351
1426,1800,3,5,0.6197636949516648,2357.904679376083,0.06286772717367618,354,9178,577,931,1360511
1426,2000,3,6,0.8385093167701864,2056.6444444444446,0.014709086947047288,26,9178,135,161,277647
1416,1500,1,1,0.9798183652875883,861.7806385169928,0.9748995983935743,20,996,971,991,836789
1416,2000,1,2,0.7163355408388521,2029.5701078582435,0.6516064257028112,257,996,649,906,1317191
1416,2000,1,3,0.8398983481575604,2331.7942511346446,0.6636546184738956,126,996,661,787,1541316
1416,2600,1,4,0.675,2736.253086419753,0.16265060240963855,78,996,162,240,443273
1416,3200,1,5,0.24324324324324326,2930.1111111111113,0.009036144578313253,28,996,9,37,26371
1416,3300,1,6,0.625,2605.9,0.010040160642570281,6,996,10,16,26059
1417,800,2,1,0.9688513200555813,1041.7123222182383,0.9419115163796015,269,8883,8367,8636,8716007
1417,1100,2,2,0.671919770773639,1906.4684434968017,0.5279747832939322,2290,8883,4690,6980,8941337
1417,1500,2,3,0.8065335753176044,2468.2241224122413,0.2501407182258246,533,8883,2222,2755,5484394
1417,2000,2,4,0.2791380999020568,2813.684210526316,0.032083755488010804,736,8883,285,1021,801900
1417,2000,2,5,0.5080213903743316,3136.694736842105,0.010694585162670269,92,8883,95,187,297986
1417,2600,2,6,0.07407407407407407,4396.5,0.00022514916131937407,25,8883,2,27,8793
1425,1400,4,1,0.5407586763518967,3487.1134328358207,0.5275590551181102,569,1270,670,1239,2336366
1425,2600,4,2,0.5,4562.96875,0.025196850393700787,32,1270,32,64,146015
1425,3100,4,3,0.0625,7893.0,0.0007874015748031496,15,1270,1,16,7893
